"","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1523",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1524",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1525",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1526",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1527",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1528",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1529",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1530",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1531",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1532",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1533",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1534",0.4,0.2,0.4,5.5,1.4,0,0.8,15.4,20.7,3,56,0.69,4.5,3,24,5,1
"1535",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1536",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1537",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1538",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1539",0.14,0.38,0.48,5.9,1.5,0,0.6,12.9,19.5,6,147,0.67,5.9,7,6,5,4
"1540",0.14,0.38,0.48,5.9,1.5,0,0.6,12.9,19.5,6,147,0.67,5.9,7,6,5,4
"1541",0.14,0.38,0.48,5.9,1.5,0,0.6,12.9,19.5,6,147,0.67,5.9,7,6,5,4
"1542",0.14,0.38,0.48,5.9,1.5,0,0.6,12.9,19.5,6,147,0.67,5.9,7,6,5,4
"1543",0.16,0.34,0.5,5.9,1.8,0,0.6,13.6,20.2,6,115,0.7,5.8,4,25,5,2
"1544",0.16,0.34,0.5,5.9,1.8,0,0.6,13.6,20.2,6,115,0.7,5.8,4,25,5,2
"1545",0.2,0.34,0.46,5.9,2.1,0,0.7,14.1,20,7,143,0.6,5.2,4,29,8,2
"1546",0.2,0.34,0.46,5.9,2.1,0,0.7,14.1,20,7,143,0.6,5.2,4,29,8,2
"1547",0.18,0.26,0.56,6,1.7,0,0.8,13,17.8,5,89,0.38,4.4,4,42,5,2
"1548",0.18,0.26,0.56,6,1.7,0,0.8,13,17.8,5,89,0.38,4.4,4,42,5,2
"1549",0.18,0.26,0.56,6,1.7,0,0.8,13,17.8,5,89,0.38,4.4,4,42,5,2
"1550",0.18,0.26,0.56,6,1.7,0,0.8,13,17.8,5,89,0.38,4.4,4,42,5,2
"1551",0.18,0.26,0.56,6,1.7,0,0.8,13,17.8,5,89,0.38,4.4,4,42,5,2
"1552",0.32,0.22,0.46,6.2,1.4,0,0.6,11.1,14.6,4,68,0.39,3.1,3,43,6,1
"1553",0.32,0.22,0.46,6.2,1.4,0,0.6,11.1,14.6,4,68,0.39,3.1,3,43,6,1
"1554",0.32,0.22,0.46,6.2,1.4,0,0.6,11.1,14.6,4,68,0.39,3.1,3,43,6,1
"1555",0.32,0.22,0.46,6.2,1.4,0,0.6,11.1,14.6,4,68,0.39,3.1,3,43,6,1
"1556",0.32,0.22,0.46,6.2,1.4,0,0.6,11.1,14.6,4,68,0.39,3.1,3,43,6,1
"1557",0.32,0.22,0.46,6.2,1.4,0,0.6,11.1,14.6,4,68,0.39,3.1,3,43,6,1
"1558",0.38,0.2,0.42,6.6,2,0,0.6,13.5,18,4,72,0.42,4,3,50,7,1
"1559",0.38,0.2,0.42,6.6,2,0,0.6,13.5,18,4,72,0.42,4,3,50,7,1
"1560",0.38,0.2,0.42,6.6,2,0,0.6,13.5,18,4,72,0.42,4,3,50,7,1
"1561",0.38,0.2,0.42,6.6,2,0,0.6,13.5,18,4,72,0.42,4,3,50,7,1
"1562",0.38,0.2,0.42,6.6,2,0,0.6,13.5,18,4,72,0.42,4,3,50,7,1
"1563",0.24,0.5,0.26,5.8,2.4,0,0.9,15.8,23.5,4,104,0.71,6.9,4,19,7,1
"1564",0.24,0.5,0.26,5.8,2.4,0,0.9,15.8,23.5,4,104,0.71,6.9,4,19,7,1
"1565",0.24,0.5,0.26,5.8,2.4,0,0.9,15.8,23.5,4,104,0.71,6.9,4,19,7,1
"1566",0.24,0.5,0.26,5.8,2.4,0,0.9,15.8,23.5,4,104,0.71,6.9,4,19,7,1
"1567",0.24,0.5,0.26,5.8,2.4,0,0.9,15.8,23.5,4,104,0.71,6.9,4,19,7,1
"1568",0.24,0.5,0.26,5.8,2.4,0,0.9,15.8,23.5,4,104,0.71,6.9,4,19,7,1
"1569",0.22,0.4,0.38,5.8,2.3,0,0.8,15.9,22.8,3,82,0.56,6.3,5,19,11,1
"1570",0.22,0.4,0.38,5.8,2.3,0,0.8,15.9,22.8,3,82,0.56,6.3,5,19,11,1
"1571",0.22,0.4,0.38,5.8,2.3,0,0.8,15.9,22.8,3,82,0.56,6.3,5,19,11,1
"1572",0.24,0.5,0.26,5.8,2.4,0,0.9,15.8,23.5,4,104,0.71,6.9,4,19,7,1
"1573",0.24,0.5,0.26,5.8,2.4,0,0.9,15.8,23.5,4,104,0.71,6.9,4,19,7,1
"1574",0.22,0.4,0.38,5.8,2.3,0,0.8,15.9,22.8,3,82,0.56,6.3,5,19,11,1
"1575",0.22,0.4,0.38,5.8,2.3,0,0.8,15.9,22.8,3,82,0.56,6.3,5,19,11,1
"1576",0.3,0.26,0.44,5.9,1.3,0,0.6,12.8,20.1,2,55,0.37,6.9,4,14,5,2
"1577",0.3,0.26,0.44,5.9,1.3,0,0.6,12.8,20.1,2,55,0.37,6.9,4,14,5,2
"1578",0.24,0.36,0.4,6.1,1.9,0,0.7,14.1,21,3,69,0.4,6.4,3,12,8,2
"1579",0.24,0.36,0.4,6.1,1.9,0,0.7,14.1,21,3,69,0.4,6.4,3,12,8,2
"1580",0.24,0.36,0.4,6.1,1.9,0,0.7,14.1,21,3,69,0.4,6.4,3,12,8,2
